name,isNew,ring,quadrant,description
Babel,TRUE,adoptar,eines,
Consul,FALSE,provar,eines,
Grafana,TRUE,provar,eines,
Packer,FALSE,provar,eines,
Apache Kafka,FALSE,avaluar,eines,
Espresso,FALSE,avaluar,eines,
fastlane,TRUE,avaluar,eines,
Galen,TRUE,avaluar,eines,
HashiCorp Vault,FALSE,avaluar,eines,
JSONassert,TRUE,avaluar,eines,
Let's Encrypt,FALSE,avaluar,eines,
Load Impact,FALSE,avaluar,eines,
OWASP Dependency-Check,FALSE,avaluar,eines,
Pa11y,TRUE,avaluar,eines,
Serverspec,FALSE,avaluar,eines,
Talisman,TRUE,avaluar,eines,
Terraform,FALSE,avaluar,eines,
tmate,TRUE,avaluar,eines,
Webpack,FALSE,avaluar,eines,
Zipkin,FALSE,avaluar,eines,
Android-x86,TRUE,avaluar,eines,
axios,TRUE,avaluar,eines,
Bottled Water,TRUE,avaluar,eines,
Clojure.spec,TRUE,avaluar,eines,
FBSnapshotTestcase,TRUE,avaluar,eines,
Grasp,FALSE,avaluar,eines,
LambdaCD,FALSE,avaluar,eines,
Pinpoint,FALSE,avaluar,eines,
Pitest,FALSE,avaluar,eines,
Repsheet,FALSE,avaluar,eines,
Scikit-learn,BOOO,avaluar,eines,
Jenkins as a deployment pipeline,FALSE,precaució,eines,
Ember.js,FALSE,provar,llenguatges i entorns de treball,
React.js,FALSE,adoptar,llenguatges i entorns de treball,
Redux,FALSE,adoptar,llenguatges i entorns de treball,
Spring Boot,FALSE,provar,llenguatges i entorns de treball,
Butterknife,FALSE,avaluar,llenguatges i entorns de treball,
Dagger,FALSE,avaluar,llenguatges i entorns de treball,
Dapper,FALSE,avaluar,llenguatges i entorns de treball,
Elixir,FALSE,avaluar,llenguatges i entorns de treball,
Enzyme,TRUE,avaluar,llenguatges i entorns de treball,
Immutable.js,FALSE,avaluar,llenguatges i entorns de treball,
Phoenix,TRUE,avaluar,llenguatges i entorns de treball,
Quick and Nimble,TRUE,avaluar,llenguatges i entorns de treball,
React Native,FALSE,avaluar,llenguatges i entorns de treball,
Robolectric,FALSE,avaluar,llenguatges i entorns de treball,
Aurelia,FALSE,avaluar,llenguatges i entorns de treball,
ECMAScript 2017,TRUE,avaluar,llenguatges i entorns de treball,
Elm,FALSE,avaluar,llenguatges i entorns de treball,
GraphQL,FALSE,avaluar,llenguatges i entorns de treball,
JuMP,TRUE,avaluar,llenguatges i entorns de treball,
Physical Web,TRUE,avaluar,llenguatges i entorns de treball,
Rapidoid,TRUE,avaluar,llenguatges i entorns de treball,
Recharts,FALSE,avaluar,llenguatges i entorns de treball,
ReSwift,TRUE,avaluar,llenguatges i entorns de treball,
Three.js,TRUE,avaluar,llenguatges i entorns de treball,
Vue.js,TRUE,avaluar,llenguatges i entorns de treball,
WebRTC,TRUE,avaluar,llenguatges i entorns de treball,
Angular  2,TRUE,avaluar,llenguatges i entorns de treball,
AngularJS,FALSE,precaució,llenguatges i entorns de treball,
JSPatch,FALSE,precaució,llenguatges i entorns de treball,
Redis,TRUE,adoptar,plataformes,"Redis pot ser utilitzada per les aplicacions en diferents sentits. Molt útil com a cache web així com a repositori de les sessions. La seva rapidesa, senzillesa i versatilitat li atorguen un paper principal en aplicacions amb molta audiència"
Algolia,TRUE,adoptar,plataformes,"Algolia és un cercador en SaaS que ja estem utilitzant en diferents portals. La seva potent API, temps de resposta i facilitat de gestió fan que aquesta plataforma sigui fàcilment integrable en qualsevol portal que necessiti capacitats de cerca avançades"
Docker,FALSE,adoptar,plataformes,
HSTS,FALSE,provar,plataformes,
Linux security modules,FALSE,provar,plataformes,
Apache Mesos,FALSE,avaluar,plataformes,
Auth0x,TRUE,avaluar,plataformes,
AWS Lambda,FALSE,avaluar,plataformes,
Kubernetes,FALSE,avaluar,plataformes,
Pivotal Cloud Foundry,FALSE,avaluar,plataformes,
Rancher,FALSE,avaluar,plataformes,
Realm,FALSE,avaluar,plataformes,
Unity beyond gaming,TRUE,avaluar,plataformes,
.NET Core,FALSE,avaluar,plataformes,
Amazon API Gateway,FALSE,avaluar,plataformes,
Apache Flink,FALSE,avaluar,plataformes,
AWS Application Load Balancer,TRUE,avaluar,plataformes,
Cassandra carefully,TRUE,avaluar,plataformes,
Electron,TRUE,avaluar,plataformes,
Ethereum,TRUE,avaluar,plataformes,
Hyperledger,TRUE,avaluar,plataformes,
HoloLens,TRUE,avaluar,plataformes,
IndiaStack,TRUE,avaluar,plataformes,
Nomad,FALSE,avaluar,plataformes,
Nuance Mix,TRUE,avaluar,plataformes,
OpenVR,TRUE,avaluar,plataformes,
Tarantool,TRUE,avaluar,plataformes,
TensorFlow,FALSE,avaluar,plataformes,
wit.ai,TRUE,avaluar,plataformes,
CMS as a platform,FALSE,precaució,plataformes,
Overambitious API gateways,FALSE,precaució,plataformes,
Superficial private cloud,FALSE,precaució,plataformes,
Consumer-driven contract testing,FALSE,provar,tècniques,
Pipelines as code,TRUE,provar,tècniques,
Threat Modeling,FALSE,provar,tècniques,
APIs as a product,TRUE,avaluar,tècniques,
Bug bounties,FALSE,avaluar,tècniques,
Data Lake,FALSE,avaluar,tècniques,
Hosting PII data in the EU,FALSE,avaluar,tècniques,
Lightweight Architecture Decision Records,FALSE,avaluar,tècniques,
Reactive architectures,FALSE,avaluar,tècniques,
Serverless architecture,FALSE,avaluar,tècniques,
Client-directed query,TRUE,avaluar,tècniques,
Container security scanning,TRUE,avaluar,tècniques,
Content Security Policies,FALSE,avaluar,tècniques,
Differential privacy,TRUE,avaluar,tècniques,
Micro frontends,FALSE,avaluar,tècniques,
OWASP ASVS,FALSE,avaluar,tècniques,
Unikernels,FALSE,avaluar,tècniques,
VR beyond gaming,FALSE,avaluar,tècniques,
Blockchain més enllà de Bitcoin,TRUE,avaluar,tècniques,"While the currency aspect of Bitcoin and other cryptocurrencies gets most of the news, we are equally excited about possibilities for using the <strong>Blockchain beyond bitcoin</strong> and financial transactions. The Blockchain is a mechanism for verifying the contents of a shared ledger without relying on a centralized service. We already see the Blockchain (either the underlying technology or the public Bitcoin Blockchain) being used at the heart of systems as varied as identity, ownership, record-keeping, voting, cloud storage and even managing networks of smart devices. If you are building systems that require trust over decentralized networks, then the Blockchain is a technology worth assessing."
A single CI instance for all teams,FALSE,precaució,tècniques,
Anemic REST,TRUE,precaució,tècniques,
Big Data envy,FALSE,precaució,tècniques,
Cloud lift and shift,FALSE,precaució,tècniques,
Aresta,TRUE,adoptar,plataformes,
Versions LTS,TRUE,adoptar,tècniques,sempre fer servir versions lts de les llibreries
